date,google_trends_ai_interest,trend_keyword
2020-01-01,0,Meta AI
2020-02-01,0,Meta AI
2020-03-01,0,Meta AI
2020-04-01,0,Meta AI
2020-05-01,0,Meta AI
2020-06-01,0,Meta AI
2020-07-01,0,Meta AI
2020-08-01,0,Meta AI
2020-09-01,0,Meta AI
2020-10-01,0,Meta AI
2020-11-01,0,Meta AI
2020-12-01,0,Meta AI
2021-01-01,0,Meta AI
2021-02-01,0,Meta AI
2021-03-01,0,Meta AI
2021-04-01,0,Meta AI
2021-05-01,0,Meta AI
2021-06-01,0,Meta AI
2021-07-01,0,Meta AI
2021-08-01,0,Meta AI
2021-09-01,0,Meta AI
2021-10-01,0,Meta AI
2021-11-01,0,Meta AI
2021-12-01,0,Meta AI
2022-01-01,0,Meta AI
2022-02-01,1,Meta AI
2022-03-01,0,Meta AI
2022-04-01,1,Meta AI
2022-05-01,1,Meta AI
2022-06-01,1,Meta AI
2022-07-01,1,Meta AI
2022-08-01,1,Meta AI
2022-09-01,1,Meta AI
2022-10-01,1,Meta AI
2022-11-01,1,Meta AI
2022-12-01,1,Meta AI
2023-01-01,1,Meta AI
2023-02-01,2,Meta AI
2023-03-01,2,Meta AI
2023-04-01,3,Meta AI
2023-05-01,3,Meta AI
2023-06-01,3,Meta AI
2023-07-01,4,Meta AI
2023-08-01,3,Meta AI
2023-09-01,4,Meta AI
2023-10-01,8,Meta AI
2023-11-01,6,Meta AI
2023-12-01,8,Meta AI
2024-01-01,7,Meta AI
2024-02-01,8,Meta AI
2024-03-01,6,Meta AI
2024-04-01,52,Meta AI
2024-05-01,40,Meta AI
2024-06-01,30,Meta AI
2024-07-01,23,Meta AI
2024-08-01,22,Meta AI
2024-09-01,23,Meta AI
2024-10-01,25,Meta AI
2024-11-01,23,Meta AI
2024-12-01,25,Meta AI
2025-01-01,29,Meta AI
2025-02-01,28,Meta AI
2025-03-01,30,Meta AI
2025-04-01,33,Meta AI
2025-05-01,34,Meta AI
2025-06-01,52,Meta AI
2025-07-01,55,Meta AI
2025-08-01,50,Meta AI
2025-09-01,47,Meta AI
2025-10-01,54,Meta AI
2025-11-01,77,Meta AI
2025-12-01,100,Meta AI
